City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bredasdorp,26,ZA,1575426174,66,-34.53,20.04,11.0,3.26
nikolskoye,20,RU,1575426060,85,59.7,30.79,0.0,4.0
new norfolk,75,AU,1575425980,31,-42.78,147.06,16.11,11.8
mar del plata,0,AR,1575426177,76,-46.43,-67.52,10.91,3.05
zabol,0,IR,1575426178,64,31.03,61.49,4.0,3.1
berlevag,100,NO,1575426179,79,70.86,29.09,-3.0,3.1
butaritari,1,KI,1575426181,72,3.07,172.79,29.27,4.04
ponta do sol,100,BR,1575425925,94,-20.63,-46.0,18.76,2.19
lazaro cardenas,5,MX,1575426183,44,28.39,-105.62,14.0,2.1
avera,1,US,1575426184,80,33.19,-82.53,6.67,2.6
vaini,75,IN,1575426185,82,15.34,74.49,20.0,4.1
anori,10,BR,1575426187,83,-3.74,-61.66,24.83,1.06
buta,19,CD,1575426188,97,2.79,24.73,19.69,0.32
carnarvon,29,ZA,1575426189,73,-30.97,22.13,4.31,9.66
geraldton,90,CA,1575426190,92,49.72,-86.95,-5.0,2.1
aklavik,90,CA,1575426191,75,68.22,-135.01,-28.0,2.05
cidreira,0,BR,1575426192,79,-30.17,-50.22,20.92,12.9
ribeira grande,100,PT,1575426194,73,38.52,-28.7,14.21,4.32
norman wells,90,CA,1575426195,83,65.28,-126.83,-21.0,5.1
imeni poliny osipenko,100,RU,1575426196,70,52.42,136.49,-10.24,8.83
port lincoln,0,AU,1575426197,35,-34.72,135.86,23.26,1.75
aksarka,33,RU,1575426199,99,66.56,67.8,-20.0,4.39
chuy,78,UY,1575426200,71,-33.69,-53.46,17.22,4.41
adre,98,TD,1575426201,27,13.47,22.2,15.49,4.58
port elizabeth,1,US,1575426202,64,39.31,-74.98,4.0,4.1
dalbandin,0,PK,1575426203,36,28.9,64.41,12.8,1.26
blackpool,75,IE,1575426204,81,51.91,-8.47,8.33,5.7
constitucion,5,MX,1575426205,15,23.99,-104.67,15.0,3.1
yellowknife,20,CA,1575425959,77,62.45,-114.38,-19.0,6.7
muros,0,ES,1575426208,84,42.77,-9.06,7.78,2.1
manggar,69,ID,1575426209,71,-2.88,108.27,28.57,2.78
hambantota,90,LK,1575426210,100,6.12,81.12,24.0,1.5
viedma,100,AR,1575426211,84,-40.81,-62.99,11.95,8.34
rantepao,59,ID,1575426212,54,-2.97,119.9,28.77,1.97
cockburn town,0,TC,1575426213,73,21.46,-71.14,26.43,2.8
sao jose da coroa grande,53,BR,1575426215,77,-8.9,-35.15,26.19,5.34
omboue,22,GA,1575426216,96,-1.57,9.26,22.86,0.24
jacareacanga,30,BR,1575426217,59,-6.22,-57.76,25.67,1.25
gat,65,SN,1575426218,83,14.69,-16.54,21.0,7.7
ramhormoz,90,IR,1575426219,100,31.28,49.6,13.0,1.0
khashuri,57,GE,1575426220,81,42.0,43.6,-0.85,1.84
castro,63,CL,1575426221,76,-42.48,-73.76,10.0,5.7
bahia honda,89,CU,1575426223,66,22.9,-83.16,21.11,1.43
kieta,80,PG,1575426224,69,-6.22,155.63,29.37,2.78
zaragoza,91,SV,1575426042,69,13.59,-89.29,24.0,3.1
adrar,0,DZ,1575426226,50,27.87,-0.29,11.0,3.1
east london,84,ZA,1575426227,70,-33.02,27.91,16.03,6.83
northam,100,AU,1575426228,24,-31.65,116.67,34.0,3.1
sueyoshi,20,JP,1575426230,50,31.65,131.02,13.0,6.7
richards bay,100,ZA,1575426231,77,-28.77,32.06,20.07,10.47
vao,100,EE,1575426232,96,59.1,26.19,3.04,5.4
saint-philippe,1,CA,1575426233,62,45.36,-73.48,-2.22,3.6
nanortalik,100,GL,1575426234,87,60.14,-45.24,-3.51,14.93
namibe,59,AO,1575426235,85,-15.19,12.15,22.29,1.8
saint-augustin,20,CA,1575426192,62,45.63,-73.98,-2.78,1.5
qaanaaq,94,GL,1575426055,73,77.48,-69.36,-15.47,2.02
bambous virieux,40,MU,1575426239,69,-20.34,57.76,25.0,3.6
esso,100,RU,1575426240,95,55.93,158.7,-13.49,3.29
khatanga,0,RU,1575426241,85,71.98,102.47,-33.54,4.45
vaitape,34,PF,1575426242,69,-16.52,-151.75,28.53,2.87
jasper,1,US,1575426080,100,33.83,-87.28,5.56,1.94
san vicente de chucuri,40,CO,1575426245,100,6.88,-73.41,20.0,1.5
zhezkazgan,90,KZ,1575426246,92,47.8,67.71,-1.0,5.0
clevelandia,84,BR,1575426247,94,-26.4,-52.47,19.01,3.62
rio gallegos,40,AR,1575426248,66,-51.62,-69.22,12.0,5.7
rolla,1,US,1575426249,56,37.95,-91.77,6.67,4.6
vila franca do campo,40,PT,1575426251,63,37.72,-25.43,16.0,6.2
chokurdakh,60,RU,1575426252,99,70.62,147.9,-28.3,2.04
esperance,40,AU,1575426039,28,-33.86,121.89,30.0,7.2
boguchany,12,RU,1575426254,95,58.38,97.46,-19.09,1.37
naze,100,NG,1575426255,91,5.43,7.07,23.9,0.89
dunedin,84,NZ,1575426052,49,-45.87,170.5,17.69,12.19
medea,40,DZ,1575426257,62,36.27,2.77,14.0,4.1
sebring,1,US,1575426259,87,27.5,-81.44,10.0,2.39
yakeshi,0,CN,1575426260,82,49.28,120.73,-29.35,3.33
longjiang,0,CN,1575426261,58,47.33,123.18,-19.57,5.69
goderich,100,CA,1575426262,91,43.74,-81.71,2.78,4.02
portland,75,US,1575426006,63,43.66,-70.25,-0.56,4.1
concarneau,20,FR,1575426265,95,47.88,-3.92,1.67,2.6
malindi,77,KE,1575426266,95,-3.22,40.12,22.69,2.24
bosconia,100,CO,1575426267,84,9.97,-73.89,25.01,1.43
vila velha,75,BR,1575426268,78,-3.71,-38.6,27.22,4.1
inta,97,RU,1575426269,76,66.04,60.13,-11.74,3.22
harnosand,100,SE,1575426270,81,62.63,17.94,8.33,6.2
agadez,1,NE,1575426272,23,16.97,7.99,18.0,2.6
smithers,90,CA,1575426273,100,54.78,-127.17,-2.0,1.5
weinan,79,CN,1575426274,60,34.5,109.46,4.0,1.0
hovd,75,NO,1575426276,81,63.83,10.7,9.44,11.3
tingo maria,100,PE,1575426277,97,-9.29,-76.01,15.67,0.71
ahome,5,MX,1575426278,72,25.92,-109.18,20.0,3.6
kabare,100,RW,1575426279,98,-1.65,29.38,12.24,0.79
state college,90,US,1575426280,91,40.79,-77.86,2.0,5.1
pimentel,62,BR,1575426281,78,-3.7,-45.5,24.29,1.43
alofi,75,NU,1575426282,65,-19.06,-169.92,28.0,3.6
namatanai,78,PG,1575426284,69,-3.66,152.44,29.45,2.2
nuzvid,20,IN,1575426285,83,16.79,80.85,23.0,1.0
carballo,0,ES,1575426286,91,43.21,-8.69,2.22,3.1
saurimo,100,AO,1575426287,99,-9.66,20.4,17.82,1.0
toktogul,100,KG,1575426288,81,41.87,72.95,-2.22,1.19
hamilton,90,CA,1575426223,100,43.26,-79.87,0.56,4.6
severo-kurilsk,95,RU,1575426290,80,50.68,156.12,-5.35,7.03
mbandaka,89,CD,1575426292,95,0.05,18.26,21.14,0.56
progreso,75,UY,1575426293,77,-34.68,-56.22,17.22,2.26
makum,20,IN,1575426294,87,27.48,95.44,15.0,2.1
hueyapan,18,MX,1575426295,78,19.88,-97.44,16.01,1.57
los llanos de aridane,90,ES,1575426296,59,28.66,-17.92,19.0,3.1
foumban,100,CM,1575426297,64,5.73,10.9,19.68,0.6
tiksi,99,RU,1575426298,96,71.64,128.87,-33.84,0.43
nueve de julio,34,AR,1575426106,31,-31.67,-68.39,24.66,10.29
chadiza,78,ZM,1575426301,81,-14.06,32.43,19.72,2.13
hirekerur,87,IN,1575426302,85,14.47,75.38,20.3,6.99
lishui,0,CN,1575426303,32,28.45,119.91,11.03,1.84
georgetown,20,GY,1575426304,94,6.8,-58.16,25.0,1.0
presidente medici,89,BR,1575426305,93,-11.18,-61.9,23.08,0.31
visby,22,SE,1575426307,93,57.64,18.3,6.0,5.1
egvekinot,27,RU,1575426308,95,66.32,-179.17,-16.37,3.91
mount gambier,90,AU,1575426309,67,-37.83,140.78,16.0,7.7
chumikan,100,RU,1575426310,70,54.72,135.31,-18.83,6.7
biak,100,ID,1575426311,68,-0.91,122.88,27.91,0.87
rahuri,100,IN,1575426312,69,19.39,74.65,22.36,3.56
lompoc,90,US,1575426313,54,34.64,-120.46,15.0,1.5
gorontalo,100,ID,1575426315,52,0.54,123.06,31.11,2.0
fairbanks,90,US,1575426316,92,64.84,-147.72,-13.0,1.32
peniche,0,PT,1575426317,81,39.36,-9.38,9.0,2.6
carmen,75,PH,1575426318,70,7.36,125.71,31.0,3.1
maningrida,58,AU,1575426319,29,-12.05,134.23,38.01,2.76
aykhal,75,RU,1575426320,74,65.95,111.51,-31.0,2.0
fayaoue,86,NC,1575426321,73,-20.65,166.53,25.52,2.8
bogotol,100,RU,1575426322,96,56.21,89.53,-4.54,2.45
akdagmadeni,81,TR,1575426324,58,39.66,35.88,-1.24,1.24
acapulco,20,MX,1575426325,74,16.86,-99.88,29.0,4.1
kaeo,87,NZ,1575426326,68,-35.1,173.78,25.0,6.78
belmonte,94,PT,1575426327,84,40.36,-7.35,4.44,1.98
kulim,20,MY,1575426328,66,5.37,100.55,29.0,4.1
isla mujeres,5,MX,1575426329,100,21.23,-86.73,19.0,1.5
upernavik,100,GL,1575426331,60,72.79,-56.15,-11.24,4.1
maceio,20,BR,1575426332,88,-9.67,-35.74,24.0,1.0
meadow lake,0,CA,1575426333,84,54.13,-108.44,-3.62,4.38
soyo,81,AO,1575426198,87,-6.13,12.37,24.85,1.26
berdigestyakh,55,RU,1575426335,91,62.1,126.7,-34.09,3.95
yermakovskoye,43,RU,1575426336,84,53.28,92.4,-13.39,1.73
kavaratti,93,IN,1575426337,79,10.57,72.64,28.15,6.75
nouadhibou,0,MR,1575426339,88,20.93,-17.03,17.0,6.7
san isidro,55,CR,1575426340,78,10.02,-84.06,22.0,3.1
altamira,60,BR,1575426314,84,-3.2,-52.21,24.13,0.54
porechye-rybnoye,90,RU,1575426343,73,57.1,39.38,-3.0,4.0
mumford,0,GH,1575426344,94,5.26,-0.76,23.95,1.09
nabire,100,ID,1575426345,74,-3.36,135.5,27.49,0.53
san patricio,90,PY,1575426346,52,-26.98,-56.83,21.59,2.07
hasaki,20,JP,1575426142,33,35.73,140.83,15.0,3.6
tura,92,RU,1575426086,94,64.27,100.22,-29.07,2.65
dudinka,100,RU,1575426350,72,69.41,86.18,-12.0,9.0
boyolangu,0,ID,1575426351,50,-8.09,111.9,31.85,4.69
longyearbyen,0,NO,1575426352,62,78.22,15.63,-6.0,6.2
deniliquin,0,AU,1575426353,23,-35.53,144.96,24.06,6.47
winnemucca,90,US,1575426354,93,40.97,-117.74,2.0,3.1
dali,4,CN,1575426355,20,34.79,109.94,7.9,3.99
savannakhet,40,TH,1575426356,63,16.57,104.76,19.0,3.1
deputatskiy,68,RU,1575426358,100,69.3,139.9,-35.08,0.44
west wendover,1,US,1575426359,91,40.74,-114.07,0.0,1.36
filingue,0,NE,1575426360,15,14.35,3.32,22.66,3.46
dingle,100,PH,1575426361,75,11.0,122.67,28.93,2.7
port hardy,40,CA,1575426362,100,50.7,-127.42,6.0,1.0
mackay,90,CA,1575426136,59,53.65,-115.58,1.0,1.81
atambua,74,ID,1575426364,60,-9.11,124.89,30.45,4.29
san jose,40,HN,1575426143,83,14.25,-87.96,22.0,7.2
yuanping,0,CN,1575426367,33,38.72,112.71,-1.18,0.77
camocim,66,BR,1575426368,81,-2.9,-40.84,25.27,1.8
faanui,34,PF,1575426109,69,-16.48,-151.75,28.53,2.87
oranjemund,4,ZA,1575426370,72,-28.55,16.43,11.57,2.0
miri,100,NG,1575426371,27,10.31,9.75,18.12,2.17
sao joao da barra,68,BR,1575426372,77,-21.64,-41.05,22.54,3.71
shigony,100,RU,1575426374,94,53.39,48.68,-6.69,3.15
la ronge,90,CA,1575426375,86,55.1,-105.3,-1.0,4.6
narasannapeta,55,IN,1575426376,65,18.42,84.04,23.18,2.26
noumea,66,NC,1575426261,43,-22.28,166.46,32.0,6.2
tromso,75,NO,1575426378,93,69.65,18.96,3.0,9.8
ust-uda,97,RU,1575426379,95,54.17,103.03,-17.58,1.97
poronaysk,84,RU,1575426380,71,49.22,143.1,-4.06,15.67
bandiagara,0,ML,1575426382,15,14.35,-3.61,22.8,4.75
qaqortoq,100,GL,1575426383,48,60.72,-46.03,-8.0,4.6
ust-karsk,67,RU,1575426384,85,52.71,118.82,-29.13,2.32
high level,20,CA,1575426385,78,58.52,-117.13,-11.0,3.6
sabha,100,LY,1575426139,26,27.03,14.43,17.33,4.74
sakaiminato,75,JP,1575426387,62,35.55,133.23,11.0,4.6
havre-saint-pierre,90,CA,1575426388,92,50.23,-63.6,-3.0,6.2
nakhon thai,1,TH,1575426390,56,17.1,100.84,23.0,4.1
ketchikan,40,US,1575426391,93,55.34,-131.65,3.0,1.19
kaitangata,69,NZ,1575426392,54,-46.28,169.85,16.43,14.01
taltal,0,CL,1575426393,87,-25.41,-70.49,12.74,0.64
henties bay,93,NA,1575426394,89,-22.12,14.28,13.89,0.89
mandalgovi,0,MN,1575426395,38,45.76,106.27,-7.96,1.58
altamont,1,CA,1575426396,69,49.4,-98.5,2.0,8.2
pak thong chai,20,TH,1575426398,64,14.73,102.02,20.0,6.2
rocha,100,UY,1575426399,64,-34.48,-54.34,17.73,3.56
hami,0,CN,1575426400,43,42.84,93.51,-2.65,1.13
rosario,60,UY,1575426401,68,-34.31,-57.35,15.56,4.55
devarkonda,10,IN,1575426402,82,16.69,78.91,21.45,3.28
esna,0,RO,1575426403,90,45.2,27.57,-1.4,3.42
samarai,77,PG,1575426405,58,-10.62,150.67,30.42,3.43
ust-ilimsk,24,RU,1575426406,79,57.96,102.73,-22.31,2.89
poum,100,MK,1575426407,88,41.28,20.71,-2.74,3.04
vostok,100,RU,1575426408,88,46.45,135.83,-21.57,3.27
kailua,90,US,1575426409,69,21.39,-157.74,28.0,3.1
souillac,75,FR,1575426410,80,45.6,-0.6,1.11,2.1
laguna de perlas,43,NI,1575426411,82,12.34,-83.67,26.53,9.11
bataysk,75,RU,1575426413,86,47.14,39.74,0.0,4.0
khasan,0,RU,1575426414,26,42.43,130.64,-10.46,8.52
bilibino,78,RU,1575426415,92,68.06,166.44,-24.28,2.5
nanhai,0,CN,1575426416,48,30.13,111.78,16.67,1.74
kodiak,1,US,1575426417,56,39.95,-94.76,7.0,4.6
tiszakecske,90,HU,1575426418,100,46.93,20.1,-0.56,2.1
provideniya,75,RU,1575426419,85,64.42,-173.23,-5.0,4.0
mizdah,86,LY,1575426421,33,31.45,12.98,13.62,1.06
mbengwi,100,CM,1575426422,57,6.0,10.01,17.79,1.11
la asuncion,60,AR,1575426423,90,-26.05,-65.39,13.0,1.22
ahipara,35,NZ,1575426424,68,-35.17,173.16,25.0,3.14
basudebpur,67,IN,1575426425,48,21.14,86.74,23.37,4.22
half moon bay,75,US,1575426426,87,37.46,-122.43,14.0,2.95
coquimbo,38,CL,1575426427,87,-29.95,-71.34,14.0,2.6
thinadhoo,69,MV,1575426429,73,0.53,72.93,28.33,2.4
skibbereen,75,IE,1575426430,81,51.55,-9.27,8.0,5.7
petatlan,75,MX,1575426431,74,17.52,-101.27,28.0,4.56
mmabatho,100,ZA,1575426432,77,-25.85,25.61,20.0,1.0
paramirim,100,BR,1575426433,92,-13.44,-42.24,19.86,3.06
pisco,90,PE,1575426434,88,-13.71,-76.2,20.0,4.1
zhuhai,0,CN,1575426435,78,40.71,112.04,-10.0,1.0
ponta delgada,40,PT,1575426437,63,37.73,-25.67,16.0,6.2
atar,0,MR,1575426438,50,20.52,-13.05,16.08,4.06
coihaique,63,CL,1575426239,66,-45.58,-72.07,11.0,2.1
ballina,100,IE,1575426440,88,54.11,-9.15,9.44,4.92
panjab,0,AF,1575426441,30,34.38,67.02,-10.54,1.34
chifeng,100,CN,1575426442,71,42.27,118.96,-10.65,3.1
udachnyy,75,RU,1575426444,74,66.42,112.4,-31.0,2.0
kununurra,0,AU,1575426445,37,-15.77,128.74,36.0,3.6
kommunar,20,RU,1575426446,84,59.62,30.39,0.0,4.0
asyut,0,EG,1575426447,76,27.18,31.19,11.0,3.6
camacha,40,PT,1575426448,59,33.08,-16.33,17.0,5.1
kuzhener,100,RU,1575426449,93,56.81,48.92,-7.08,4.41
mount isa,0,AU,1575426450,10,-20.73,139.49,33.0,6.2
bonavista,100,CA,1575426452,86,48.65,-53.11,2.78,1.34
langxiang,83,CN,1575426453,69,46.95,128.87,-20.92,3.48
karratha,0,AU,1575426454,49,-20.74,116.85,30.17,4.83
yarmouth,90,CA,1575426350,100,43.84,-66.12,4.44,6.2
sitka,12,US,1575426456,49,37.17,-99.65,8.2,2.92
eskil,40,TR,1575426457,55,38.4,33.41,5.05,0.8
araucaria,90,BR,1575426262,93,-25.59,-49.41,16.11,4.1
sundsvall,100,SE,1575426460,81,62.39,17.31,8.33,6.2
oktyabrskoye,75,RU,1575426461,92,56.73,85.44,-4.44,4.0
tuy hoa,100,VN,1575426462,76,13.08,109.3,24.24,13.61
santa rosalia,0,IT,1575426463,87,38.07,13.27,15.56,2.1
beloha,0,MG,1575426464,50,-25.17,45.06,25.43,2.28
thompson,75,CA,1575426465,78,55.74,-97.86,-12.0,2.1
galveston,75,US,1575426466,100,40.58,-86.19,2.0,6.2
ust-tsilma,100,RU,1575426468,93,65.44,52.15,-6.74,4.31
hofn,99,IS,1575426469,69,64.25,-15.21,6.12,18.42
neiafu,20,TO,1575426470,74,-18.65,-173.98,28.0,3.6
yumen,0,CN,1575426471,44,40.29,97.04,-3.26,7.17
xining,0,CN,1575426472,47,36.62,101.77,-8.64,2.38
evensk,74,RU,1575426473,77,61.92,159.24,-21.32,7.89
touros,40,BR,1575426474,78,-5.2,-35.46,26.0,3.6
chirilagua,100,SV,1575426476,67,13.22,-88.14,27.65,3.91
moron,0,HT,1575426477,81,18.56,-74.26,25.69,4.54
guerrero negro,100,MX,1575426478,69,27.97,-114.04,18.41,5.23
gold coast,0,AU,1575426300,25,-28.0,153.41,35.56,1.34
fountain hills,90,US,1575426480,39,33.61,-111.72,18.0,5.1
fuyang,0,CN,1575426481,25,32.89,115.81,10.25,2.82
nsanje,77,MZ,1575426482,73,-16.92,35.26,24.32,1.76
bonoua,75,CI,1575426484,83,5.27,-3.6,28.0,1.0
benjamin constant,85,BR,1575426485,100,-4.38,-70.03,25.0,0.72
riachao do jacuipe,4,BR,1575426486,85,-11.81,-39.39,22.47,2.97
ampanihy,0,MG,1575426487,45,-24.69,44.75,26.33,2.24
gilgit,0,PK,1575426488,19,35.92,74.31,-12.76,0.52
luena,100,AO,1575426489,98,-11.78,19.91,17.05,1.37
huambo,100,AO,1575426491,97,-12.78,15.73,16.16,0.54
meulaboh,5,ID,1575426492,79,4.14,96.13,27.02,1.23
jurm,0,AF,1575426493,29,36.86,70.83,-4.0,5.52
saravan,40,AM,1575426494,76,39.72,45.65,1.0,3.1
nakhon si thammarat,90,TH,1575426496,100,8.43,99.96,24.0,3.6
port-gentil,47,GA,1575426497,78,-0.72,8.78,26.77,2.55
natal,40,BR,1575426498,78,-5.81,-35.21,26.0,3.6
broken hill,0,AU,1575426499,17,-31.97,141.45,25.0,3.1
iqaluit,20,CA,1575426500,70,63.75,-68.52,-20.0,2.6
cabo san lucas,5,MX,1575426307,78,22.89,-109.91,23.33,3.1
tautira,20,PF,1575426502,70,-17.73,-149.15,30.0,4.6
nisia floresta,40,BR,1575426504,78,-6.09,-35.21,26.0,3.6
praia da vitoria,20,PT,1575426505,67,38.73,-27.07,16.0,6.59
bagotville,0,AU,1575426506,26,-28.98,153.42,32.0,5.1
novoshakhtinsk,75,RU,1575426507,86,47.76,39.94,0.0,4.0
sompeta,66,IN,1575426508,56,18.93,84.6,22.99,1.7
hay river,90,CA,1575426509,77,60.82,-115.79,-14.0,7.7
roma,0,IT,1575426511,70,41.89,12.48,10.0,6.7
ilulissat,97,GL,1575426512,72,69.22,-51.1,-9.0,9.8
urdoma,100,RU,1575426513,94,61.74,48.55,-6.24,3.81
kralendijk,3,BQ,1575426514,78,12.15,-68.27,28.0,7.2
vista hermosa,40,MX,1575426515,100,14.92,-92.27,24.0,0.87
balikpapan,100,ID,1575426516,83,-1.24,116.86,28.94,1.1
beringovskiy,90,RU,1575426517,100,63.05,179.32,-17.19,7.02
karla,90,EE,1575426519,100,59.37,24.93,2.0,5.1
minggang,0,CN,1575426520,20,32.45,114.03,13.78,4.82
niculitel,0,RO,1575426521,86,45.18,28.48,-2.0,5.1
sassandra,9,CI,1575426522,89,4.95,-6.09,24.8,2.83
kolokani,12,ML,1575426523,15,13.58,-8.03,20.62,3.67
pangnirtung,100,CA,1575426997,100,66.15,-65.72,-23.62,2.49
mareeba,16,AU,1575426998,66,-16.99,145.42,33.33,4.1
shaoyang,0,CN,1575426999,38,27.23,111.45,11.34,2.05
tateyama,75,JP,1575427000,87,36.66,137.31,7.78,6.2
pacific grove,1,US,1575427001,87,36.62,-121.92,14.44,2.1
grootfontein,81,NA,1575427002,85,-19.56,18.1,17.93,5.18
heyang,67,CN,1575427003,48,26.1,107.47,9.34,3.99
broome,10,GB,1575427005,86,52.47,1.45,5.0,3.1
kavieng,61,PG,1575427006,62,-2.57,150.8,29.38,0.83
padang,86,ID,1575427007,70,-0.92,100.36,25.92,1.07
alyangula,0,AU,1575427008,55,-13.85,136.42,33.0,4.1
tilichiki,100,RU,1575427009,99,60.47,166.1,-21.85,7.26
san ramon de la nueva oran,78,AR,1575427010,78,-23.13,-64.33,19.97,0.59
palanga,0,RO,1575427011,88,44.45,25.08,-0.19,2.56
isangel,75,VU,1575427012,55,-19.55,169.27,31.0,4.1
kutum,100,SD,1575427014,38,14.2,24.66,12.84,1.65
conde,1,BR,1575427015,79,-11.81,-37.61,26.19,7.36
zheleznodorozhnyy,75,RU,1575427016,86,55.75,38.0,-3.0,3.0
mehamn,100,NO,1575427017,78,71.03,27.85,-2.9,6.92
bafq,0,IR,1575427018,73,31.6,55.4,9.91,0.67
itapirapua,100,BR,1575426926,96,-15.82,-50.61,22.05,1.16
san carlos de bariloche,0,AR,1575427021,83,-41.13,-71.31,12.0,1.2
sharjah,0,AE,1575427022,73,25.36,55.39,21.0,2.1
belaya gora,50,RU,1575427023,99,68.54,146.19,-35.65,0.95
terrenate,40,MX,1575427024,68,28.79,-111.4,20.0,2.1
korcula,0,HR,1575427025,64,42.96,17.14,1.0,1.5
baykit,77,RU,1575427026,97,61.68,96.39,-24.7,1.01
